Datum,DAX50ESGneu,HDAXneu,DAX39ESG,HDAX73
18.09.08,624.147761,683.0034457,624.147761,681.8666929
19.09.08,674.6792789,721.5237597,674.6792789,720.5578775
22.09.08,660.2177187,711.2585024,660.2177187,709.6826808
23.09.08,650.7161536,702.7773701,650.7161536,700.9909217
24.09.08,652.4025336,700.0240228,652.4025336,698.2473087
25.09.08,663.4246699,708.7027324,663.4246699,707.021158
26.09.08,646.9300388,689.3150673,646.9300388,687.7602366
29.09.08,608.1477098,650.3155665,608.1477098,649.0655255
30.09.08,605.8618975,652.7476554,605.8618975,651.1519728
01.10.08,608.9781621,653.527667,608.9781621,651.971988
02.10.08,599.1176009,644.543007,599.1176009,642.9897017
03.10.08,608.5923985,653.8606016,608.5923985,652.3044126
06.10.08,558.4580327,602.9076801,558.4580327,601.7294772
07.10.08,546.4591498,590.3077664,546.4591498,589.4209355
08.10.08,514.2297223,557.4090018,514.2297223,556.5742974
09.10.08,511.9220869,551.3307447,511.9220869,551.1337565
10.10.08,471.4696824,516.0460906,471.4696824,515.7741754
13.10.08,520.9555151,571.1731178,520.9555151,570.7768238
14.10.08,533.941287,578.3241897,533.941287,577.834648
15.10.08,494.449516,542.7831863,494.449516,541.9481246
16.10.08,465.6635454,516.2422198,465.6635454,515.2486576
17.10.08,479.3807408,528.5887033,479.3807408,527.5688297
20.10.08,488.8083887,535.3338869,488.8083887,533.905801
21.10.08,494.4998315,537.4956747,494.4998315,536.2859983
22.10.08,473.4506774,515.5475967,473.4506774,514.4941044
23.10.08,469.3001377,504.6268593,469.3001377,503.7264075
24.10.08,443.0203988,477.7735296,443.0203988,476.9814698
27.10.08,407.3955967,443.0155718,407.3955967,441.9648462
28.10.08,393.7141555,438.4388876,393.7141555,437.4439731
29.10.08,441.0328432,479.5013188,441.0328432,478.960394
30.10.08,458.2021836,495.579244,458.2021836,495.0566948
31.10.08,466.6335495,506.086508,466.6335495,505.3700578
03.11.08,480.2157627,513.8750169,480.2157627,513.3087351
04.11.08,510.1981533,542.4763854,510.1981533,541.0295777
05.11.08,499.7029657,531.780853,499.7029657,530.2446453
06.11.08,463.7993027,497.5630377,463.7993027,496.1262037
07.11.08,473.6957806,504.1385016,473.6957806,502.6077379
10.11.08,479.9819118,512.4894482,479.9819118,510.990123
11.11.08,452.3876428,488.8130753,452.3876428,487.4293533
12.11.08,440.3014884,476.0945371,440.3014884,474.5071782
13.11.08,441.7269498,478.2798614,441.7269498,476.8111471
14.11.08,451.9163802,488.2674854,451.9163802,486.8389106
17.11.08,435.5027117,473.1111122,435.5027117,471.6199363
18.11.08,432.0988718,469.8287931,432.0988718,468.4863069
19.11.08,408.1719643,448.9463126,408.1719643,447.700375
20.11.08,395.3315564,435.2957185,395.3315564,434.256372
21.11.08,390.0570532,428.8411545,390.0570532,427.8090751
24.11.08,433.6653766,466.7616806,433.6653766,465.8435376
25.11.08,440.5667136,472.1177558,440.5667136,471.3075029
26.11.08,436.1661636,468.1274824,436.1661636,467.2251763
27.11.08,452.8416062,482.5572837,452.8416062,481.3975289
28.11.08,453.2819502,482.9474044,453.2819502,481.8568841
01.12.08,430.0620813,459.4794575,430.0620813,458.5214831
02.12.08,439.66282,468.9616692,439.66282,467.8262685
03.12.08,441.3636805,470.1591304,441.3636805,469.4558128
04.12.08,442.3734175,471.9363369,442.3734175,471.266773
05.12.08,426.5195102,457.7026188,426.5195102,457.1894489
08.12.08,455.3010767,484.7504917,455.3010767,484.3309889
09.12.08,463.9806808,490.047519,463.9806808,490.3717346
10.12.08,470.7588001,494.6465674,470.7588001,496.2944946
11.12.08,462.5513687,493.7354046,462.5513687,495.0668539
12.12.08,449.5361848,484.4179479,449.5361848,485.5170122
15.12.08,448.5402234,485.0723247,448.5402234,486.1824688
16.12.08,457.0246125,490.4668994,457.0246125,491.642674
17.12.08,451.8312797,487.6678584,451.8312797,488.9215044
18.12.08,457.9272153,493.416123,457.9272153,494.9520677
19.12.08,451.5882843,486.3852845,451.5882843,487.6002132
22.12.08,447.2651164,483.937451,447.2651164,484.9785328
23.12.08,451.2889325,486.099055,451.2889325,487.1896918
24.12.08,451.2889325,486.099055,451.2889325,487.1896918
25.12.08,451.2889325,486.099055,451.2889325,487.1896918
26.12.08,451.2889325,486.099055,451.2889325,487.1896918
29.12.08,461.8284497,498.7369855,461.8284497,499.8429425
30.12.08,470.9692893,506.4419907,470.9692893,507.6395791
31.12.08,470.9692893,506.4419907,470.9692893,507.6395791
01.01.09,470.9692893,506.4419907,470.9692893,507.6395791
02.01.09,484.2068253,521.5643925,484.2068253,522.9122216
05.01.09,484.411798,523.9760479,484.411798,525.3966256
06.01.09,484.0079915,524.8070857,484.0079915,526.3041959
07.01.09,476.0555348,515.7435189,476.0555348,517.217446
08.01.09,464.5807339,503.2205123,464.5807339,504.6975715
09.01.09,458.2896026,496.8578645,458.2896026,498.3759206
12.01.09,454.1830001,490.3524812,454.1830001,491.8571363
13.01.09,444.3595253,485.7404694,444.3595253,487.1265418
14.01.09,421.8818912,463.1796859,421.8818912,464.4139993
15.01.09,408.5435193,454.2322842,408.5435193,455.3486886
16.01.09,412.1135002,457.6912183,412.1135002,458.7711636
19.01.09,404.7426754,450.3379953,404.7426754,451.3394375
20.01.09,395.3994744,442.331085,395.3994744,443.3549391
21.01.09,398.0773576,444.0589431,398.0773576,445.2606477
22.01.09,395.0210503,438.7461252,395.0210503,439.9210672
23.01.09,387.2682208,431.3934768,387.2682208,432.5376144
26.01.09,398.770624,442.451824,398.770624,443.7536666
27.01.09,396.3974342,442.5534857,396.3974342,443.9302016
28.01.09,419.5342906,463.1937066,419.5342906,464.7076793
29.01.09,412.3693111,457.0848108,412.3693111,458.5286295
